日付,始値,安値,高値,終値
2019年4月9日,"21,750.29","21,811.88","21,698.42","21,802.59"
2019年4月8日,"21,900.55","21,900.55","21,740.53","21,761.65"
2019年4月5日,"21,743.14","21,839.18","21,731.34","21,807.5"
2019年4月4日,"21,724.69","21,787.6","21,662.9","21,724.95"
2019年4月3日,"21,563.64","21,722.72","21,489.95","21,713.21"
2019年4月2日,"21,744.64","21,744.64","21,490.56","21,505.31"
2019年4月1日,"21,500.89","21,682.94","21,471.12","21,509.03"
2019年3月29日,"21,228.51","21,267.25","21,149.42","21,205.81"
2019年3月28日,"21,191.32","21,191.32","20,974.19","21,033.76"
2019年3月27日,"21,353.61","21,388.59","21,242.52","21,378.73"
日付,始値,安値,高値,終値
2019年3月26日,"21,174.34","21,460.99","21,174.34","21,428.39"
2019年3月25日,"21,267.41","21,275.43","20,911.57","20,977.11"
2019年3月22日,"21,713.26","21,713.26","21,542.03","21,627.34"
2019年3月20日,"21,548.65","21,614.17","21,499.16","21,608.92"
2019年3月19日,"21,558.43","21,585.55","21,425.79","21,566.85"
2019年3月18日,"21,576.36","21,612.67","21,500.32","21,584.5"
2019年3月15日,"21,376.73","21,521.68","21,374.85","21,450.85"
2019年3月14日,"21,474.58","21,522.75","21,287.02","21,287.02"
2019年3月13日,"21,425.77","21,474.17","21,198.99","21,290.24"
2019年3月12日,"21,361.61","21,568.48","21,348.81","21,503.69"
日付,始値,安値,高値,終値
2019年3月11日,"21,062.75","21,145.94","20,938","21,125.09"
2019年3月8日,"21,339.17","21,359.32","20,993.07","21,025.56"
2019年3月7日,"21,456.88","21,472.16","21,402.12","21,456.01"
2019年3月6日,"21,659.03","21,684.6","21,550.45","21,596.81"
2019年3月5日,"21,712.8","21,798.38","21,659.04","21,726.28"
2019年3月4日,"21,812.81","21,860.39","21,740.92","21,822.04"
2019年3月1日,"21,490.02","21,641.58","21,490.02","21,602.69"
2019年2月28日,"21,536.55","21,536.55","21,364.09","21,385.16"
2019年2月27日,"21,504.61","21,578.81","21,492.65","21,556.51"
2019年2月26日,"21,556.02","21,610.88","21,405.84","21,449.39"
日付,始値,安値,高値,終値
2019年2月25日,"21,567.66","21,590.03","21,505.07","21,528.23"
2019年2月22日,"21,376.36","21,451.23","21,348.67","21,425.51"
2019年2月21日,"21,422.31","21,553.35","21,318.74","21,464.23"
2019年2月20日,"21,346.04","21,494.85","21,315.39","21,431.49"
2019年2月19日,"21,256.58","21,344.17","21,217.16","21,302.65"
2019年2月18日,"21,217.32","21,306.36","21,189.97","21,281.85"
2019年2月15日,"21,051.51","21,051.51","20,853.33","20,900.63"
2019年2月14日,"21,147.89","21,235.62","21,102.16","21,139.71"
2019年2月13日,"21,029.93","21,213.74","20,992.88","21,144.48"
2019年2月12日,"20,442.55","20,885.88","20,428.57","20,864.21"
日付,始値,安値,高値,終値
2019年2月8日,"20,510.5","20,562.39","20,315.31","20,333.17"
2019年2月7日,"20,812.22","20,844.77","20,665.51","20,751.28"
2019年2月6日,"20,928.87","20,971.66","20,860.99","20,874.06"
2019年2月5日,"20,960.47","20,981.23","20,823.18","20,844.45"
2019年2月4日,"20,831.9","20,922.58","20,823.68","20,883.77"
2019年2月1日,"20,797.03","20,929.63","20,741.98","20,788.39"
2019年1月31日,"20,832.91","20,869.42","20,682.91","20,773.49"
2019年1月30日,"20,701.62","20,706.27","20,527.53","20,556.54"
2019年1月29日,"20,555.44","20,673.66","20,406.22","20,664.64"
2019年1月28日,"20,746.29","20,759.48","20,624.55","20,649"
日付,始値,安値,高値,終値
2019年1月25日,"20,598.64","20,844.31","20,598.64","20,773.56"
2019年1月24日,"20,506.24","20,620.72","20,467.59","20,574.63"
2019年1月23日,"20,453.44","20,686.29","20,438.22","20,593.72"
2019年1月22日,"20,770.06","20,805.93","20,558.3","20,622.91"
2019年1月21日,"20,848.38","20,892.68","20,678.26","20,719.33"
2019年1月18日,"20,472.81","20,682.12","20,454.13","20,666.07"
2019年1月17日,"20,544.23","20,571.75","20,342.46","20,402.27"
2019年1月16日,"20,575.72","20,580.25","20,323.32","20,442.75"
2019年1月15日,"20,264.82","20,571.28","20,204.43","20,555.29"
2019年1月11日,"20,296.45","20,389.89","20,294.74","20,359.7"
日付,始値,安値,高値,終値
2019年1月10日,"20,270.88","20,345.92","20,101.93","20,163.8"
2019年1月9日,"20,366.3","20,494.35","20,331.2","20,427.06"
2019年1月8日,"20,224.67","20,347.92","20,106.36","20,204.04"
2019年1月7日,"19,944.61","20,266.22","19,920.8","20,038.97"
2019年1月4日,"19,655.13","19,692.58","19,241.37","19,561.96"
2018年12月28日,"19,957.88","20,084.38","19,900.04","20,014.77"
2018年12月27日,"19,706.19","20,211.57","19,701.76","20,077.62"
2018年12月26日,"19,302.59","19,530.35","18,948.58","19,327.06"
2018年12月25日,"19,785.43","19,785.43","19,117.96","19,155.74"
2018年12月21日,"20,310.5","20,334.73","20,006.67","20,166.19"
日付,始値,安値,高値,終値
2018年12月20日,"20,779.93","20,841.34","20,282.93","20,392.58"
2018年12月19日,"21,107.17","21,168.62","20,880.73","20,987.92"
2018年12月18日,"21,275.51","21,330.36","21,101.44","21,115.45"
2018年12月17日,"21,391.73","21,563.27","21,363.67","21,506.88"
2018年12月14日,"21,638.96","21,751.31","21,353.94","21,374.83"
2018年12月13日,"21,755.13","21,871.34","21,675.66","21,816.19"
2018年12月12日,"21,348.4","21,631.47","21,320.72","21,602.75"
2018年12月11日,"21,273.04","21,279.02","21,062.31","21,148.02"
2018年12月10日,"21,319.47","21,365.78","21,169.96","21,219.5"
2018年12月7日,"21,643.75","21,734.94","21,506.45","21,678.68"
日付,始値,安値,高値,終値
2018年12月6日,"21,766.5","21,805.02","21,307.72","21,501.62"
2018年12月5日,"21,755.17","21,979.18","21,708.82","21,919.33"
2018年12月4日,"22,533.97","22,576.62","22,033.41","22,036.05"
2018年12月3日,"22,629.39","22,698.79","22,550.29","22,574.76"
2018年11月30日,"22,274.97","22,362.2","22,231.96","22,351.06"
2018年11月29日,"22,360.98","22,437.95","22,241.17","22,262.6"
2018年11月28日,"22,036.72","22,216.98","22,032.72","22,177.02"
2018年11月27日,"21,967.98","22,006.83","21,816.05","21,952.4"
2018年11月26日,"21,647.69","21,838.1","21,622.6","21,812"
2018年11月22日,"21,582.47","21,684.64","21,484.98","21,646.55"
日付,始値,安値,高値,終値
2018年11月21日,"21,286.81","21,555.61","21,243.38","21,507.54"
2018年11月20日,"21,582.69","21,687.12","21,526.95","21,583.12"
2018年11月19日,"21,679.03","21,852.92","21,665.29","21,821.16"
2018年11月16日,"21,804.9","21,873.74","21,663.99","21,680.34"
2018年11月15日,"21,670.35","21,818.73","21,613.53","21,803.62"
2018年11月14日,"21,851.13","21,990.41","21,764.88","21,846.48"
2018年11月13日,"21,885.24","21,892.29","21,484.65","21,810.52"
2018年11月12日,"22,121.7","22,324.01","22,046.29","22,269.88"
2018年11月9日,"22,471.31","22,494.58","22,226.01","22,250.25"
2018年11月8日,"22,446.01","22,583.43","22,421","22,486.92"
日付,始値,安値,高値,終値
2018年11月7日,"22,189.74","22,444.65","21,996.94","22,085.8"
2018年11月6日,"22,018.87","22,160.83","21,994.28","22,147.75"
2018年11月5日,"22,002.47","22,051.65","21,865.98","21,898.99"
2018年11月2日,"21,761.58","22,308.42","21,751.33","22,243.66"
2018年11月1日,"21,906.41","21,906.41","21,628.45","21,687.65"
2018年10月31日,"21,569.56","21,920.46","21,530.39","21,920.46"
2018年10月30日,"21,049.52","21,568.4","21,035.88","21,457.29"
2018年10月29日,"21,323.61","21,465.99","21,109.97","21,149.8"
2018年10月26日,"21,440.84","21,476.66","20,971.93","21,184.6"
2018年10月25日,"21,676.83","21,703.21","21,204.4","21,268.73"
日付,始値,安値,高値,終値
2018年10月24日,"22,167.76","22,207.09","21,911.42","22,091.18"
2018年10月23日,"22,404.14","22,410.15","21,993.07","22,010.78"
2018年10月22日,"22,374.21","22,672.25","22,271.59","22,614.82"
2018年10月19日,"22,342","22,551.67","22,212.57","22,532.08"
2018年10月18日,"22,871.28","22,873.13","22,637.29","22,658.16"
2018年10月17日,"22,806.59","22,959.41","22,765.58","22,841.12"
2018年10月16日,"22,298.2","22,549.24","22,269.53","22,549.24"
2018年10月15日,"22,501.33","22,520.59","22,261.92","22,271.3"
2018年10月12日,"22,323.43","22,711.13","22,323.43","22,694.66"
2018年10月11日,"23,043.37","23,051.19","22,459.02","22,590.86"
日付,始値,安値,高値,終値
2018年10月10日,"23,538.92","23,589.38","23,373.54","23,506.04"
2018年10月9日,"23,550.47","23,587.05","23,442.46","23,469.39"
2018年10月5日,"23,781.76","23,928.62","23,730.19","23,783.72"
2018年10月4日,"24,242.06","24,247.82","23,923.26","23,975.62"
2018年10月3日,"24,219.19","24,260.63","24,030.59","24,110.96"
2018年10月2日,"24,376.17","24,448.07","24,217.26","24,270.62"
2018年10月1日,"24,173.37","24,306.54","24,123.5","24,245.76"
2018年9月28日,"24,080.01","24,286.1","24,021.27","24,120.04"
2018年9月27日,"23,946.43","24,089.32","23,778.04","23,796.74"
2018年9月26日,"23,846.6","24,033.79","23,833.92","24,033.79"
日付,始値,安値,高値,終値
2018年9月25日,"23,881.85","23,950.98","23,808.95","23,940.26"
2018年9月21日,"23,848.63","23,971.41","23,764.05","23,869.93"
2018年9月20日,"23,752.79","23,781.75","23,582.15","23,674.93"
2018年9月19日,"23,754.96","23,842.05","23,672.52","23,672.52"
2018年9月18日,"23,042.19","23,481.53","23,039.26","23,420.54"
2018年9月14日,"23,035.78","23,105.28","22,965.48","23,094.67"
2018年9月13日,"22,657.95","22,858.41","22,643.88","22,821.32"
2018年9月12日,"22,702.71","22,709.37","22,522.17","22,604.61"
2018年9月11日,"22,469.78","22,667.85","22,457.1","22,664.69"
2018年9月10日,"22,253.65","22,396.88","22,249.61","22,373.09"
日付,始値,安値,高値,終値
2018年9月7日,"22,351.84","22,372.89","22,172.9","22,307.06"
2018年9月6日,"22,458.97","22,535.34","22,416.63","22,487.94"
2018年9月5日,"22,663.8","22,692.25","22,570.52","22,580.83"
2018年9月4日,"22,740.05","22,753.18","22,612.15","22,696.9"
2018年9月3日,"22,819.17","22,820.48","22,684.43","22,707.38"
2018年8月31日,"22,733.25","22,890.61","22,678.03","22,865.15"
2018年8月30日,"23,020.18","23,032.17","22,832.83","22,869.5"
2018年8月29日,"22,820.86","22,968.18","22,819.97","22,848.22"
2018年8月28日,"22,967.74","23,006.77","22,813.47","22,813.47"
2018年8月27日,"22,693.69","22,838.06","22,682.39","22,799.64"
日付,始値,安値,高値,終値
2018年8月24日,"22,484.01","22,602.24","22,452.42","22,601.77"
2018年8月23日,"22,420.67","22,463.03","22,377.88","22,410.82"
2018年8月22日,"22,270.04","22,390.2","22,162.81","22,362.55"
2018年8月21日,"22,110.54","22,306.83","22,053.14","22,219.73"
2018年8月20日,"22,267.07","22,288.31","22,150.75","22,199"
2018年8月17日,"22,313.19","22,340.95","22,244.1","22,270.38"
2018年8月16日,"21,980.82","22,240.42","21,871.7","22,192.04"
2018年8月15日,"22,368.12","22,380.28","22,110.29","22,204.22"
2018年8月14日,"22,053.07","22,356.08","22,047.19","22,356.08"
2018年8月13日,"22,117.57","22,124.6","21,851.32","21,857.43"
日付,始値,安値,高値,終値
2018年8月10日,"22,606.91","22,608.86","22,272.69","22,298.08"
2018年8月9日,"22,591.54","22,648.88","22,497.99","22,598.39"
2018年8月8日,"22,666.56","22,800.61","22,610.29","22,644.31"
2018年8月7日,"22,514.31","22,666.68","22,499.05","22,662.74"
2018年8月6日,"22,536.05","22,635.68","22,486.74","22,507.32"
2018年8月3日,"22,585.54","22,613.5","22,490.57","22,525.18"
2018年8月2日,"22,676.73","22,754.73","22,464.81","22,512.53"
2018年8月1日,"22,642.18","22,775.47","22,615.98","22,746.7"
2018年7月31日,"22,472.12","22,678.06","22,352.21","22,553.72"
2018年7月30日,"22,613.3","22,631.32","22,518.94","22,544.84"
日付,始値,安値,高値,終値
2018年7月27日,"22,646.48","22,712.75","22,593.2","22,712.75"
2018年7月26日,"22,711.59","22,717.15","22,549.77","22,586.87"
2018年7月25日,"22,594.28","22,645.66","22,547.14","22,614.25"
2018年7月24日,"22,555.05","22,555.05","22,416.23","22,510.48"
2018年7月23日,"22,480.33","22,507.17","22,341.87","22,396.99"
2018年7月20日,"22,734.56","22,869.98","22,541.35","22,697.88"
2018年7月19日,"22,871.62","22,926.47","22,761.87","22,764.68"
2018年7月18日,"22,917.52","22,949.32","22,794.19","22,794.19"
2018年7月17日,"22,605.73","22,832.22","22,575.42","22,697.36"
2018年7月13日,"22,397.62","22,692.86","22,316.52","22,597.35"
日付,始値,安値,高値,終値
2018年7月12日,"22,036.87","22,233.52","22,019.19","22,187.96"
2018年7月11日,"22,002.14","22,044.62","21,744.25","21,932.21"
2018年7月10日,"22,215.34","22,321.6","22,196.89","22,196.89"
2018年7月9日,"21,838.53","22,105.95","21,825.76","22,052.18"
2018年7月6日,"21,647.66","21,866.16","21,642.96","21,788.14"
2018年7月5日,"21,697.44","21,751.5","21,462.95","21,546.99"
2018年7月4日,"21,679","21,784","21,604.18","21,717.04"
2018年7月3日,"21,889.06","21,927.81","21,574.56","21,785.54"
2018年7月2日,"22,233.8","22,312.25","21,784.48","21,811.93"
2018年6月29日,"22,314.47","22,332.82","22,145.48","22,304.51"
日付,始値,安値,高値,終値
2018年6月28日,"22,195.19","22,299.39","22,038.4","22,270.39"
2018年6月27日,"22,320.88","22,356.54","22,205.34","22,271.77"
2018年6月26日,"22,160.33","22,368.78","22,104.12","22,342"
2018年6月25日,"22,543.56","22,556.55","22,312.79","22,338.15"
2018年6月22日,"22,456.45","22,535.65","22,414.18","22,516.83"
2018年6月21日,"22,523.28","22,782.01","22,491.08","22,693.04"
2018年6月20日,"22,338.53","22,581.4","22,167.16","22,555.43"
2018年6月19日,"22,565.92","22,618.52","22,278.48","22,278.48"
2018年6月18日,"22,806.57","22,806.89","22,601.13","22,680.33"
2018年6月15日,"22,883.24","22,885.84","22,770.38","22,851.75"
日付,始値,安値,高値,終値
2018年6月14日,"22,842.96","22,898.39","22,738.61","22,738.61"
2018年6月13日,"22,896.17","22,993.26","22,895.31","22,966.38"
2018年6月12日,"22,977.22","23,011.57","22,797.73","22,878.35"
2018年6月11日,"22,686.95","22,856.08","22,667.3","22,804.04"
2018年6月8日,"22,799.38","22,879","22,694.5","22,694.5"
2018年6月7日,"22,748.72","22,856.37","22,732.18","22,823.26"
2018年6月6日,"22,520.31","22,662.82","22,498.59","22,625.73"
2018年6月5日,"22,552.17","22,602.13","22,470.04","22,539.54"
2018年6月4日,"22,365.09","22,515.72","22,355.83","22,475.94"
2018年6月1日,"22,126.25","22,316.91","22,098.04","22,171.35"
日付,始値,安値,高値,終値
2018年5月31日,"22,163.4","22,254.42","22,098","22,201.82"
2018年5月30日,"22,051.97","22,079.23","21,931.65","22,018.52"
2018年5月29日,"22,431.95","22,439.1","22,240.39","22,358.43"
2018年5月28日,"22,488.95","22,547.67","22,410.91","22,481.09"
2018年5月25日,"22,380.22","22,509.36","22,318.15","22,450.79"
2018年5月24日,"22,621.29","22,644.69","22,366.6","22,437.01"
2018年5月23日,"22,868.79","22,949.73","22,649.85","22,689.74"
2018年5月22日,"23,025.95","23,031.67","22,952.87","22,960.34"
2018年5月21日,"22,937.58","23,050.39","22,935.31","23,002.37"
2018年5月18日,"22,907.2","22,954.19","22,867.3","22,930.36"
日付,始値,安値,高値,終値
2018年5月17日,"22,820.62","22,887.03","22,799.16","22,838.37"
2018年5月16日,"22,730.12","22,796.14","22,695.84","22,717.23"
2018年5月15日,"22,889.47","22,912.06","22,805.72","22,818.02"
2018年5月14日,"22,705.3","22,894.76","22,683.64","22,865.86"
2018年5月11日,"22,573.95","22,769.16","22,545.47","22,758.48"
2018年5月10日,"22,482.51","22,530.64","22,418.75","22,497.18"
2018年5月9日,"22,463.01","22,478.64","22,364.75","22,408.88"
2018年5月8日,"22,440.65","22,566.68","22,423.23","22,508.69"
2018年5月7日,"22,513.22","22,513.48","22,350.91","22,467.16"
2018年5月2日,"22,568.19","22,568.19","22,426.55","22,472.78"
日付,始値,安値,高値,終値
2018年5月1日,"22,453.42","22,519.45","22,411.43","22,508.03"
2018年4月27日,"22,466.66","22,495.56","22,357.53","22,467.87"
2018年4月26日,"22,278.77","22,381.66","22,265.2","22,319.61"
2018年4月25日,"22,118.62","22,228.78","22,080.76","22,215.32"
2018年4月24日,"22,228.82","22,304.69","22,149.59","22,278.12"
2018年4月23日,"22,157.88","22,204.86","22,065.52","22,088.04"
2018年4月20日,"22,148.22","22,261.35","22,076.63","22,162.24"
2018年4月19日,"22,231.86","22,360.65","22,176.86","22,191.18"
2018年4月18日,"21,929.01","22,194.11","21,914.96","22,158.2"
2018年4月17日,"21,801.83","21,889.89","21,772.42","21,847.59"
日付,始値,安値,高値,終値
2018年4月16日,"21,843.55","21,879.69","21,775.61","21,835.53"
2018年4月13日,"21,801.41","21,917.35","21,746.69","21,778.74"
2018年4月12日,"21,657.87","21,719.43","21,591.39","21,660.28"
2018年4月11日,"21,819.09","21,837.36","21,687.1","21,687.1"
2018年4月10日,"21,599.67","21,933.99","21,542.37","21,794.32"
